Mental_Health_Disorder_Group,ICD10_Code,Description
Suicide or Self-Injury,ICD10:T71.192S,"Asphyxiation due to mechanical threat to breathing due to other causes, intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T71.222A,"Asphyxiation due to being trapped in a car trunk, intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T71.222S,"Asphyxiation due to being trapped in a car trunk, intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:T71.232A,"Asphyxiation due to being trapped in a (discarded) refrigerator, intentional self-harm, initial encounter"
Suicide or Self-Injury,ICD10:T71.232S,"Asphyxiation due to being trapped in a (discarded) refrigerator, intentional self-harm, sequela"
Suicide or Self-Injury,ICD10:X71.0XXA,"Intentional self-harm by drowning and submersion while in bathtub, initial encounter"
Suicide or Self-Injury,ICD10:X71.0XXD,"Intentional self-harm by drowning and submersion while in bathtub, subsequent encounter"
Suicide or Self-Injury,ICD10:X71.0XXS,"Intentional self-harm by drowning and submersion while in bathtub, sequela"
Suicide or Self-Injury,ICD10:X71.1XXA,"Intentional self-harm by drowning and submersion while in swimming pool, initial encounter"
Suicide or Self-Injury,ICD10:X71.1XXD,"Intentional self-harm by drowning and submersion while in swimming pool, subsequent encounter"
Suicide or Self-Injury,ICD10:X71.1XXS,"Intentional self-harm by drowning and submersion while in swimming pool, sequela"
Suicide or Self-Injury,ICD10:X71.2XXA,"Intentional self-harm by drowning and submersion after jump into swimming pool, initial encounter"
Suicide or Self-Injury,ICD10:X71.2XXD,"Intentional self-harm by drowning and submersion after jump into swimming pool, subsequent encounter"
Suicide or Self-Injury,ICD10:X71.2XXS,"Intentional self-harm by drowning and submersion after jump into swimming pool, sequela"
Suicide or Self-Injury,ICD10:X71.3XXA,"Intentional self-harm by drowning and submersion in natural water, initial encounter"
Suicide or Self-Injury,ICD10:X71.3XXD,"Intentional self-harm by drowning and submersion in natural water, subsequent encounter"
Suicide or Self-Injury,ICD10:X71.3XXS,"Intentional self-harm by drowning and submersion in natural water, sequela"
Suicide or Self-Injury,ICD10:X71.8XXA,"Other intentional self-harm by drowning and submersion, initial encounter"
Suicide or Self-Injury,ICD10:X71.8XXD,"Other intentional self-harm by drowning and submersion, subsequent encounter"
Suicide or Self-Injury,ICD10:X71.8XXS,"Other intentional self-harm by drowning and submersion, sequela"
Suicide or Self-Injury,ICD10:X71.9XXA,"Intentional self-harm by drowning and submersion, unspecified, initial encounter"
Suicide or Self-Injury,ICD10:X71.9XXD,"Intentional self-harm by drowning and submersion, unspecified, subsequent encounter"
Suicide or Self-Injury,ICD10:X71.9XXS,"Intentional self-harm by drowning and submersion, unspecified, sequela"
Suicide or Self-Injury,ICD10:X72.XXXA,"Intentional self-harm by handgun discharge, initial encounter"
Suicide or Self-Injury,ICD10:X72.XXXD,"Intentional self-harm by handgun discharge, subsequent encounter"
Suicide or Self-Injury,ICD10:X72.XXXS,"Intentional self-harm by handgun discharge, sequela"
Suicide or Self-Injury,ICD10:X73.0XXA,"Intentional self-harm by shotgun discharge, initial encounter"
Suicide or Self-Injury,ICD10:X73.0XXD,"Intentional self-harm by shotgun discharge, subsequent encounter"
Suicide or Self-Injury,ICD10:X73.0XXS,"Intentional self-harm by shotgun discharge, sequela"
Suicide or Self-Injury,ICD10:X73.1XXA,"Intentional self-harm by hunting rifle discharge, initial encounter"
Suicide or Self-Injury,ICD10:X73.1XXD,"Intentional self-harm by hunting rifle discharge, subsequent encounter"
Suicide or Self-Injury,ICD10:X73.1XXS,"Intentional self-harm by hunting rifle discharge, sequela"
Suicide or Self-Injury,ICD10:X73.2XXA,"Intentional self-harm by machine gun discharge, initial encounter"
Suicide or Self-Injury,ICD10:X73.2XXD,"Intentional self-harm by machine gun discharge, subsequent encounter"
Suicide or Self-Injury,ICD10:X73.2XXS,"Intentional self-harm by machine gun discharge, sequela"
Suicide or Self-Injury,ICD10:X73.8XXA,"Intentional self-harm by other larger firearm discharge, initial encounter"
Suicide or Self-Injury,ICD10:X73.8XXD,"Intentional self-harm by other larger firearm discharge, subsequent encounter"
Suicide or Self-Injury,ICD10:X73.8XXS,"Intentional self-harm by other larger firearm discharge, sequela"
Suicide or Self-Injury,ICD10:X73.9XXA,"Intentional self-harm by unspecified larger firearm discharge, initial encounter"
Suicide or Self-Injury,ICD10:X73.9XXD,"Intentional self-harm by unspecified larger firearm discharge, subsequent encounter"
Suicide or Self-Injury,ICD10:X73.9XXS,"Intentional self-harm by unspecified larger firearm discharge, sequela"
Suicide or Self-Injury,ICD10:X74.01XA,"Intentional self-harm by airgun, initial encounter"
Suicide or Self-Injury,ICD10:X74.01XD,"Intentional self-harm by airgun, subsequent encounter"
Suicide or Self-Injury,ICD10:X74.01XS,"Intentional self-harm by airgun, sequela"
Suicide or Self-Injury,ICD10:X74.02XA,"Intentional self-harm by paintball gun, initial encounter"
Suicide or Self-Injury,ICD10:X74.02XD,"Intentional self-harm by paintball gun, subsequent encounter"
Suicide or Self-Injury,ICD10:X74.02XS,"Intentional self-harm by paintball gun, sequela"
Suicide or Self-Injury,ICD10:X74.09XA,"Intentional self-harm by other gas, air or spring-operated gun, initial encounter"
Suicide or Self-Injury,ICD10:X74.09XD,"Intentional self-harm by other gas, air or spring-operated gun, subsequent encounter"
Suicide or Self-Injury,ICD10:X74.09XS,"Intentional self-harm by other gas, air or spring-operated gun, sequela"
Suicide or Self-Injury,ICD10:X74.8XXA,"Intentional self-harm by other firearm discharge, initial encounter"
Suicide or Self-Injury,ICD10:X74.8XXD,"Intentional self-harm by other firearm discharge, subsequent encounter"
Suicide or Self-Injury,ICD10:X74.8XXS,"Intentional self-harm by other firearm discharge, sequela"
Suicide or Self-Injury,ICD10:X74.9XXA,"Intentional self-harm by unspecified firearm discharge, initial encounter"
Suicide or Self-Injury,ICD10:X74.9XXD,"Intentional self-harm by unspecified firearm discharge, subsequent encounter"
Suicide or Self-Injury,ICD10:X74.9XXS,"Intentional self-harm by unspecified firearm discharge, sequela"
Suicide or Self-Injury,ICD10:X75.XXXA,"Intentional self-harm by explosive material, initial encounter"
Suicide or Self-Injury,ICD10:X75.XXXD,"Intentional self-harm by explosive material, subsequent encounter"
Suicide or Self-Injury,ICD10:X75.XXXS,"Intentional self-harm by explosive material, sequela"
Suicide or Self-Injury,ICD10:X76.XXXA,"Intentional self-harm by smoke, fire and flames, initial encounter"
Suicide or Self-Injury,ICD10:X76.XXXD,"Intentional self-harm by smoke, fire and flames, subsequent encounter"
Suicide or Self-Injury,ICD10:X76.XXXS,"Intentional self-harm by smoke, fire and flames, sequela"
Suicide or Self-Injury,ICD10:X77.0XXA,"Intentional self-harm by steam or hot vapors, initial encounter"
Suicide or Self-Injury,ICD10:X77.0XXD,"Intentional self-harm by steam or hot vapors, subsequent encounter"
Suicide or Self-Injury,ICD10:X77.0XXS,"Intentional self-harm by steam or hot vapors, sequela"
Suicide or Self-Injury,ICD10:X77.1XXA,"Intentional self-harm by hot tap water, initial encounter"
Suicide or Self-Injury,ICD10:X77.1XXD,"Intentional self-harm by hot tap water, subsequent encounter"
Suicide or Self-Injury,ICD10:X77.1XXS,"Intentional self-harm by hot tap water, sequela"
Suicide or Self-Injury,ICD10:X77.2XXA,"Intentional self-harm by other hot fluids, initial encounter"
Suicide or Self-Injury,ICD10:X77.2XXD,"Intentional self-harm by other hot fluids, subsequent encounter"
Suicide or Self-Injury,ICD10:X77.2XXS,"Intentional self-harm by other hot fluids, sequela"
Suicide or Self-Injury,ICD10:X77.3XXA,"Intentional self-harm by hot household appliances, initial encounter"
Suicide or Self-Injury,ICD10:X77.3XXD,"Intentional self-harm by hot household appliances, subsequent encounter"
Suicide or Self-Injury,ICD10:X77.3XXS,"Intentional self-harm by hot household appliances, sequela"
Suicide or Self-Injury,ICD10:X77.8XXA,"Intentional self-harm by other hot objects, initial encounter"
Suicide or Self-Injury,ICD10:X77.8XXD,"Intentional self-harm by other hot objects, subsequent encounter"
Suicide or Self-Injury,ICD10:X77.8XXS,"Intentional self-harm by other hot objects, sequela"
Suicide or Self-Injury,ICD10:X77.9XXA,"Intentional self-harm by unspecified hot objects, initial encounter"
Suicide or Self-Injury,ICD10:X77.9XXD,"Intentional self-harm by unspecified hot objects, subsequent encounter"
Suicide or Self-Injury,ICD10:X77.9XXS,"Intentional self-harm by unspecified hot objects, sequela"
Suicide or Self-Injury,ICD10:X78.0XXA,"Intentional self-harm by sharp glass, initial encounter"
Suicide or Self-Injury,ICD10:X78.0XXD,"Intentional self-harm by sharp glass, subsequent encounter"
Suicide or Self-Injury,ICD10:X78.0XXS,"Intentional self-harm by sharp glass, sequela"
Suicide or Self-Injury,ICD10:X78.1XXA,"Intentional self-harm by knife, initial encounter"
Suicide or Self-Injury,ICD10:X78.1XXD,"Intentional self-harm by knife, subsequent encounter"
Suicide or Self-Injury,ICD10:X78.1XXS,"Intentional self-harm by knife, sequela"
Suicide or Self-Injury,ICD10:X78.2XXA,"Intentional self-harm by sword or dagger, initial encounter"
Suicide or Self-Injury,ICD10:X78.2XXD,"Intentional self-harm by sword or dagger, subsequent encounter"
Suicide or Self-Injury,ICD10:X78.2XXS,"Intentional self-harm by sword or dagger, sequela"
Suicide or Self-Injury,ICD10:X78.8XXA,"Intentional self-harm by other sharp object, initial encounter"
Suicide or Self-Injury,ICD10:X78.8XXD,"Intentional self-harm by other sharp object, subsequent encounter"
Suicide or Self-Injury,ICD10:X78.8XXS,"Intentional self-harm by other sharp object, sequela"
Suicide or Self-Injury,ICD10:X78.9XXA,"Intentional self-harm by unspecified sharp object, initial encounter"
Suicide or Self-Injury,ICD10:X78.9XXD,"Intentional self-harm by unspecified sharp object, subsequent encounter"
Suicide or Self-Injury,ICD10:X78.9XXS,"Intentional self-harm by unspecified sharp object, sequela"
Suicide or Self-Injury,ICD10:X79.XXXA,"Intentional self-harm by blunt object, initial encounter"
Suicide or Self-Injury,ICD10:X79.XXXD,"Intentional self-harm by blunt object, subsequent encounter"
Suicide or Self-Injury,ICD10:X79.XXXS,"Intentional self-harm by blunt object, sequela"
Suicide or Self-Injury,ICD10:X80.XXXA,"Intentional self-harm by jumping from a high place, initial encounter"
Suicide or Self-Injury,ICD10:X80.XXXD,"Intentional self-harm by jumping from a high place, subsequent encounter"
Suicide or Self-Injury,ICD10:X80.XXXS,"Intentional self-harm by jumping from a high place, sequela"
Suicide or Self-Injury,ICD10:X81.0XXA,"Intentional self-harm by jumping or lying in front of motor vehicle, initial encounter"
Suicide or Self-Injury,ICD10:X81.0XXD,"Intentional self-harm by jumping or lying in front of motor vehicle, subsequent encounter"
Suicide or Self-Injury,ICD10:X81.0XXS,"Intentional self-harm by jumping or lying in front of motor vehicle, sequela"
Suicide or Self-Injury,ICD10:X81.1XXA,"Intentional self-harm by jumping or lying in front of (subway) train, initial encounter"
Suicide or Self-Injury,ICD10:X81.1XXD,"Intentional self-harm by jumping or lying in front of (subway) train, subsequent encounter"
Suicide or Self-Injury,ICD10:X81.1XXS,"Intentional self-harm by jumping or lying in front of (subway) train, sequela"
Suicide or Self-Injury,ICD10:X81.8XXA,"Intentional self-harm by jumping or lying in front of other moving object, initial encounter"
Suicide or Self-Injury,ICD10:X81.8XXD,"Intentional self-harm by jumping or lying in front of other moving object, subsequent encounter"
Suicide or Self-Injury,ICD10:X81.8XXS,"Intentional self-harm by jumping or lying in front of other moving object, sequela"
Suicide or Self-Injury,ICD10:X82.0XXA,"Intentional collision of motor vehicle with other motor vehicle, initial encounter"
Suicide or Self-Injury,ICD10:X82.0XXD,"Intentional collision of motor vehicle with other motor vehicle, subsequent encounter"
Suicide or Self-Injury,ICD10:X82.0XXS,"Intentional collision of motor vehicle with other motor vehicle, sequela"
Suicide or Self-Injury,ICD10:X82.1XXA,"Intentional collision of motor vehicle with train, initial encounter"
Suicide or Self-Injury,ICD10:X82.1XXD,"Intentional collision of motor vehicle with train, subsequent encounter"
Suicide or Self-Injury,ICD10:X82.1XXS,"Intentional collision of motor vehicle with train, sequela"
Suicide or Self-Injury,ICD10:X82.2XXA,"Intentional collision of motor vehicle with tree, initial encounter"
Suicide or Self-Injury,ICD10:X82.2XXD,"Intentional collision of motor vehicle with tree, subsequent encounter"
Suicide or Self-Injury,ICD10:X82.2XXS,"Intentional collision of motor vehicle with tree, sequela"
Suicide or Self-Injury,ICD10:X82.8XXA,"Other intentional self-harm by crashing of motor vehicle, initial encounter"
Suicide or Self-Injury,ICD10:X82.8XXD,"Other intentional self-harm by crashing of motor vehicle, subsequent encounter"
Suicide or Self-Injury,ICD10:X82.8XXS,"Other intentional self-harm by crashing of motor vehicle, sequela"
Suicide or Self-Injury,ICD10:X83.0XXA,"Intentional self-harm by crashing of aircraft, initial encounter"
Suicide or Self-Injury,ICD10:X83.0XXD,"Intentional self-harm by crashing of aircraft, subsequent encounter"
Suicide or Self-Injury,ICD10:X83.0XXS,"Intentional self-harm by crashing of aircraft, sequela"
Suicide or Self-Injury,ICD10:X83.1XXA,"Intentional self-harm by electrocution, initial encounter"
Suicide or Self-Injury,ICD10:X83.1XXD,"Intentional self-harm by electrocution, subsequent encounter"
Suicide or Self-Injury,ICD10:X83.1XXS,"Intentional self-harm by electrocution, sequela"
Suicide or Self-Injury,ICD10:X83.2XXA,"Intentional self-harm by exposure to extremes of cold, initial encounter"
Suicide or Self-Injury,ICD10:X83.2XXD,"Intentional self-harm by exposure to extremes of cold, subsequent encounter"
Suicide or Self-Injury,ICD10:X83.2XXS,"Intentional self-harm by exposure to extremes of cold, sequela"
Suicide or Self-Injury,ICD10:X83.8XXA,"Intentional self-harm by other specified means, initial encounter"
Suicide or Self-Injury,ICD10:X83.8XXD,"Intentional self-harm by other specified means, subsequent encounter"
Suicide or Self-Injury,ICD10:X83.8XXS,"Intentional self-harm by other specified means, sequela"
Trauma and Stressor-Related Disorders,ICD10:F43.0,Acute stress reaction
Trauma and Stressor-Related Disorders,ICD10:F43.10,"Post-traumatic stress disorder, unspecified"
Trauma and Stressor-Related Disorders,ICD10:F43.11,"Post-traumatic stress disorder, acute"
Trauma and Stressor-Related Disorders,ICD10:F43.12,"Post-traumatic stress disorder, chronic"
Trauma and Stressor-Related Disorders,ICD10:F43.20,"Adjustment disorder, unspecified"
Trauma and Stressor-Related Disorders,ICD10:F43.21,Adjustment disorder with depressed mood
Trauma and Stressor-Related Disorders,ICD10:F43.22,Adjustment disorder with anxiety
Trauma and Stressor-Related Disorders,ICD10:F43.23,Adjustment disorder with mixed anxiety and depressed mood
Trauma and Stressor-Related Disorders,ICD10:F43.24,Adjustment disorder with disturbance of conduct
Trauma and Stressor-Related Disorders,ICD10:F43.25,Adjustment disorder with mixed disturbance of emotions and conduct
Trauma and Stressor-Related Disorders,ICD10:F43.29,Adjustment disorder with other symptoms
Trauma and Stressor-Related Disorders,ICD10:F43.8,Other reactions to severe stress
Trauma and Stressor-Related Disorders,ICD10:F43.9,"Reaction to severe stress, unspecified"
Trauma and Stressor-Related Disorders,ICD10:F94.1,Reactive attachment disorder of childhood
Trauma and Stressor-Related Disorders,ICD10:F94.2,Disinhibited attachment disorder of childhood
Feeding and Eating Disorders,ICD10:F50.00,"Anorexia nervosa, unspecified"
Feeding and Eating Disorders,ICD10:F50.01,"Anorexia nervosa, restricting type"
Feeding and Eating Disorders,ICD10:F50.02,"Anorexia nervosa, binge eating/purging type"
Feeding and Eating Disorders,ICD10:F50.2,Bulimia nervosa
Feeding and Eating Disorders,ICD10:F50.8,Other eating disorders
Feeding and Eating Disorders,ICD10:F50.81,Binge eating disorder
Feeding and Eating Disorders,ICD10:F50.82,Avoidant/restrictive food intake disorder
Feeding and Eating Disorders,ICD10:F50.89,Other specified eating disorder
Feeding and Eating Disorders,ICD10:F50.9,"Eating disorder, unspecified"
Feeding and Eating Disorders,ICD10:F98.21,Rumination disorder of infancy
Feeding and Eating Disorders,ICD10:F98.29,Other feeding disorders of infancy and early childhood
Feeding and Eating Disorders,ICD10:F98.3,Pica of infancy and childhood
